0;6.0 -15.525400161743164
1;-19.0 -0.5008180141448975
2;30.0 -32.553199768066406
3;25.0 -14.523699760437012
4;-22.0 14.523699760437012
5;-14.0 39.56460189819336
6;-19.0 33.5547981262207
7;53.0 -11.518799781799316
8;-9.0 11.518799781799316
9;32.0 3.505729913711548
10;37.0 9.515549659729004
11;-12.0 32.553199768066406
12;37.0 -16.527000427246094
13;46.0 -19.53190040588379
14;49.0 3.505729913711548
15;31.0 -19.53190040588379
16;80.0 -21.535200119018555
17;55.0 10.517200469970703
18;94.0 23.53849983215332
19;2.0 17.528600692749023
20;25.0 11.518799781799316
21;-13.0 14.523699760437012
22;-61.0 16.527000427246094
23;-21.0 -7.512269973754883
24;20.0 31.551599502563477
25;-17.0 -5.508999824523926
26;3.0 8.513910293579102
27;41.0 53.58760070800781
28;0.0 60.5989990234375
29;27.0 5.508999824523926
30;-55.0 54.58919906616211
31;74.0 -45.574501037597656
32;36.0 -52.585899353027344
33;-36.0 28.546600341796875
34;8.0 -7.512269973754883
35;93.0 35.558101654052734
36;-21.0 28.546600341796875
37;64.0 6.5106401443481445
38;30.0 -3.505729913711548
39;49.0 24.54010009765625
40;40.0 -1.5024499893188477
41;47.0 -28.546600341796875
42;43.0 -13.522100448608398
43;0.0 23.53849983215332
44;25.0 30.54990005493164
45;19.0 -30.54990005493164
46;43.0 -33.5547981262207
47;77.0 24.54010009765625
48;39.0 31.551599502563477
49;-39.0 7.512269973754883
50;-14.0 26.543399810791016
51;-26.0 37.5614013671875
52;-33.0 29.54829978942871
53;-6.0 -40.56629943847656
54;-23.0 18.53030014038086
55;10.0 25.54170036315918
56;-33.0 -0.5008180141448975
57;55.0 -14.523699760437012
58;15.0 -17.528600692749023
59;3.0 18.53030014038086
60;-1.0 36.55970001220703
61;-23.0 20.533599853515625
62;61.0 17.528600692749023
63;51.0 -22.536800384521484
64;-15.0 16.527000427246094
65;54.0 24.54010009765625
66;14.0 11.518799781799316
67;6.0 5.508999824523926
68;90.0 -25.54170036315918
69;-39.0 12.520500183105469
70;-28.0 -4.507359981536865
71;-4.0 18.53030014038086
72;-30.0 4.507359981536865
73;65.0 -9.515549659729004
74;82.0 -2.5040900707244873
75;3.0 10.517200469970703
76;15.0 -1.5024499893188477
77;82.0 11.518799781799316
78;-20.0 39.56460189819336
79;30.0 24.54010009765625
80;11.0 87.64320373535156
81;9.0 32.553199768066406
82;-4.0 -14.523699760437012
83;23.0 -4.507359981536865
84;65.0 1.5024499893188477
85;16.0 39.56460189819336
86;-21.0 3.505729913711548
87;46.0 32.553199768066406
88;-37.0 12.520500183105469
89;-2.0 -6.5106401443481445
90;30.0 18.53030014038086
91;84.0 -40.56629943847656
92;17.0 16.527000427246094
93;76.0 32.553199768066406
94;21.0 -22.536800384521484
95;-9.0 -3.505729913711548
96;-33.0 11.518799781799316
97;60.0 -19.53190040588379
98;50.0 -45.574501037597656
99;33.0 50.58259963989258
100;41.0 -49.58100128173828
101;32.0 60.5989990234375
102;-64.0 42.56959915161133
103;85.0 -34.55649948120117
104;84.0 44.57279968261719
105;-36.0 54.58919906616211
106;7.0 14.523699760437012
107;57.0 7.512269973754883
108;-5.0 29.54829978942871
109;-8.0 5.508999824523926
110;-36.0 -40.56629943847656
111;-62.0 28.546600341796875
112;-55.0 29.54829978942871
113;-68.0 10.517200469970703
114;63.0 -68.61209869384766
115;17.0 -8.513910293579102
116;38.0 17.528600692749023
117;95.0 -41.567901611328125
118;101.0 -27.545000076293945
119;103.0 5.508999824523926
120;91.0 5.508999824523926
121;132.0 17.528600692749023
122;-92.0 67.6104965209961
123;94.0 -7.512269973754883
124;-42.0 47.577701568603516
125;62.0 37.5614013671875
